id,year,question_text,option_A,option_B,option_C,option_D,correct_answer,explanation,tags
19,2024,18 months old unvaccinated child comes to PHC for vaccination for the first time. Vaccines to be given include:,Pentavalent vaccine,"BCG, OPV","DPT, OPV","BCG, OPV, Pentavalent",C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct[cite: 132]. According to the National Immunization Schedule for 'catch-up' vaccination, the Pentavalent vaccine is only given up to 1 year of age[cite: 130]. For a child aged 18 months, the DPT vaccine and OPV are administered instead [cite: 132].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (DPT, OPV):** Standard for catch-up at 18 months [cite: 132].
- ❌ **A (Pentavalent):** Can only be given until the age of 12 months [cite: 130].
- ❌ **B, D (BCG):** BCG is generally not given after 1 year of age in the standard public health schedule[cite: 131, 133].

### 3. MEMORY AID (MNEMONIC) 
**'Penta is for the Primary year'** — Remember **Penta**valent is for the **P**rimary year of life (under 1). After that, switch to **DPT**.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Up to what age can the Hepatitis B birth dose be given?' (Within 24 hours of birth).
- **Key Connection:** Vital for **Pediatrics** and **PSM** immunization catch-up protocols.",Pediatrics|PSM|haryanamo
20,2024,"Under ESI Act, sickness benefit is given for a period of:",117 days,39 days,17 days,91 days,D,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option D is correct[cite: 139]. Under the Employees' State Insurance (ESI) Act, the 'Sickness Benefit' is payable to an insured person for a maximum of **91 days** in any two consecutive benefit periods [cite: 135, 139].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **D (91 days):** The standard duration for sickness benefit under ESI [cite: 139].
- ❌ **A, B, C:** These do not match the statutory limit for standard sickness benefit[cite: 136, 137, 138].

### 3. MEMORY AID (MNEMONIC) 
**'ESI = 1 Season'** — 91 days is roughly 3 months, or one **Season** of the year.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the duration of Maternity Benefit under ESI?' (26 weeks / 182 days).
- **Key Connection:** Important for **PSM (Occupational Health)** and **Forensic Medicine**.",PSM|Occupational Health|haryanamo
21,2024,Which one of the following is NOT a goal of population-based cancer registry?,Determination of cancer rates and trends,Administrative information,Patterns of care and outcomes for cancer patients,Cancer prevention,B,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option B is correct. Population-based cancer registries (PBCR) focus on epidemiology and the impact of cancer in a defined population[cite: 143]. Administrative information (like hospital management data) is typically the goal of Hospital-Based Cancer Registries (HBCR) rather than PBCRs [cite: 145].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **B (Administrative information):** This is a primary function of HBCRs to help improve hospital programs [cite: 145].
- ❌ **A (Rates and trends):** A core goal of PBCR to assess the cancer burden in a community [cite: 144].
- ❌ **C (Outcomes):** PBCRs track patient survival and outcomes to evaluate the effectiveness of health services [cite: 146].
- ❌ **D (Prevention):** PBCR data is essential for planning and evaluating cancer prevention and control programs[cite: 147].

### 3. MEMORY AID (MNEMONIC) 
**'P-E-H-A'** — **P**opulation registries focus on **E**pidemiology; **H**ospital registries focus on **A**dministration[cite: 143, 145].

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the main source of data for a Hospital-Based Cancer Registry?' (Individual hospital medical records).
- **Key Connection:** Essential for **PSM** and **Oncology** public health surveillance[cite: 143].",PSM|Oncology|haryanamo
22,2024,Multiple Risk Factor Intervention Trial (MRFIT) for coronary heart disease was conducted in which country?,USA,Finland,Norway,UK,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct. The Multiple Risk Factor Intervention Trial (MRFIT) was a landmark randomized clinical trial conducted in the **USA** to evaluate the effect of multifactorial intervention on mortality from coronary heart disease [cite: 148, 151].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (USA):** The study was funded by the National Heart, Lung, and Blood Institute (NHLBI) in the United States [cite: 151].
- ❌ **B (Finland):** Notable for the North Karelia Project, not MRFIT [cite: 154].
- ❌ **C (Norway):** Known for the Oslo Study on cardiovascular disease [cite: 152].
- ❌ **D (UK):** Famous for the British Doctors Study on smoking and lung cancer [cite: 155].

### 3. MEMORY AID (MNEMONIC) 
**'M-R-F-I-T = U-S-A'** — Just remember that the big 'Multi-Factor' trial was an **American** venture[cite: 148, 151].

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What were the three main risk factors addressed in the MRFIT study?' (Smoking, Hypertension, and High Cholesterol).
- **Key Connection:** A classic study in **Epidemiology** and **Cardiology**[cite: 148].",PSM|Epidemiology|Cardiology|haryanamo
23,2024,Which of the following viruses is NOT significantly associated with aplastic anemia?,Epstein-Barr Virus (EBV),Adenovirus,Human Immunodeficiency Virus (HIV),Parvovirus B19,B,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option B is correct. Adenovirus is typically associated with respiratory, ocular, and gastrointestinal infections but is not a recognized cause of bone marrow failure or aplastic anemia [cite: 156, 158].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **B (Adenovirus):** No strong clinical association with aplastic anemia [cite: 158].
- ❌ **A (EBV):** Well-documented to cause post-viral aplastic anemia [cite: 157].
- ❌ **C (HIV):** Can cause pancytopenia and bone marrow suppression [cite: 159].
- ❌ **D (Parvovirus B19):** Classically causes transient aplastic crisis, especially in patients with underlying hemolytic disorders[cite: 160].

### 3. MEMORY AID (MNEMONIC) 
**'H-E-P' causes Aplasia** — **H**IV, **E**BV, and **P**arvovirus. **A**denovirus is for **A**irways (respiratory)[cite: 157, 159, 160].

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which virus causes Pure Red Cell Aplasia?' (Parvovirus B19).
- **Key Connection:** Important for **Hematology** and **Microbiology**[cite: 156].",Hematology|Microbiology|Medicine|haryanamo
24,2024,Myasthenia gravis is caused by dysfunction of:,Pineal gland,Thymus gland,Pituitary gland,Parathyroid gland,B,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option B is correct. Myasthenia Gravis is an autoimmune disorder often linked to abnormalities of the **Thymus gland** (thymic hyperplasia or thymoma)[cite: 162, 164]. The thymus is involved in the production of autoantibodies against acetylcholine receptors at the neuromuscular junction [cite: 164].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **B (Thymus gland):** Around 75% of patients have thymus abnormalities [cite: 164].
- ❌ **A (Pineal gland):** Secretes melatonin; no role in MG [cite: 163].
- ❌ **C (Pituitary gland):** Master gland for hormones; not related to MG [cite: 165].
- ❌ **D (Parathyroid gland):** Regulates calcium; not related to MG [cite: 166].

### 3. MEMORY AID (MNEMONIC) 
**'M-G = T-G'** — **M**yasthenia **G**ravis is often fixed by removing the **T**hymus **G**land (Thymectomy)[cite: 162, 164].

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the most common tumor associated with Myasthenia Gravis?' (Thymoma).
- **Key Connection:** Vital in **Neurology** and **Pathology**[cite: 162].",Neurology|Pathology|Medicine|haryanamo
25,2024,"A 65-year-old male with a history of hypertension presents with sudden-onset severe chest pain radiating to the back. Blood pressure in the right arm is 180/100 mm Hg, while in the left arm; it is 120/70 mm Hg. Chest X-ray shows mediastinal widening. What is the diagnosis?",Aortic dissection,Myocardial infarction,Pulmonary embolism,Pericarditis,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct. The classic triad of tearing chest pain radiating to the back, blood pressure discrepancy between arms, and mediastinal widening on X-ray is pathognomonic for **Aortic Dissection** [cite: 169, 171].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Aortic dissection):** Hypertension is the biggest risk factor; asymmetric pulses/BP are key clinical signs [cite: 169, 171].
- ❌ **B (MI):** Pain is usually substernal and doesn't typically cause BP discrepancy between arms [cite: 173].
- ❌ **C (Pulmonary embolism):** Presents with pleuritic chest pain and dyspnea, not usually back radiation or BP differences [cite: 172].
- ❌ **D (Pericarditis):** Pain is usually positional and pleuritic, accompanied by a friction rub [cite: 174].

### 3. MEMORY AID (MNEMONIC) 
**'D-I-S-S-E-C-T'** — **D**iscrepancy in BP, **I**ntense back pain, **S**udden onset, **S**hadow widening on X-ray[cite: 169, 171].

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the gold standard imaging for Aortic Dissection?' (CT Angiography).
- **Key Connection:** A critical emergency in **Cardiology** and **Vascular Surgery**[cite: 169].",Cardiology|Emergency Medicine|Surgery|haryanamo
26,2024,A 28-year-old female presents with recurrent oral thrush and dysphagia. She is HIV-positive and not on antiretroviral therapy. What is the first choice of the treatment for her oral candidiasis?,Oral Fluconazole,Oral Posaconazole,Intravenous amphotericin B,No treatment needed,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct. For an HIV-positive patient with symptomatic oral candidiasis (thrush), oral Fluconazole is the first-line systemic treatment of choice[cite: 177, 646]. It is highly effective, well-tolerated, and superior to topical agents in immunocompromised individuals.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Oral Fluconazole):** The standard of care for esophageal and severe oral candidiasis in HIV patients [cite: 177].
- ❌ **B (Oral Posaconazole):** A broad-spectrum triazole usually reserved for fluconazole-resistant cases or prophylaxis in severe neutropenia [cite: 180].
- ❌ **C (Intravenous amphotericin B):** Reserved for life-threatening systemic fungal infections due to its high toxicity [cite: 178].
- ❌ **D (No treatment):** Untreated candidiasis in HIV can lead to esophageal involvement and severe malnutrition[cite: 181].

### 3. MEMORY AID (MNEMONIC) 
**'FLUC-Oral'** — Use **FLUC**onazole for **Oral** and esophageal thrush in HIV.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the most common opportunistic infection in HIV?' (Candidiasis).
- **Key Connection:** This relates to **Medicine** and **Infectious Diseases**, specifically the management of HIV-related complications.",Medicine|Infectious Disease|Pharmacology|haryanamo
27,2024,"A 35-year-old female presents with recurrent abdominal pain, diarrhoea, and unintentional weight loss over the past year. She also reports occasional episodes of rectal bleeding. Colonoscopy reveals segmental colonic inflammation with aphthous ulcers and skip lesions. Which of the following is the most likely diagnosis?",Crohn's disease,Ulcerative colitis,Diverticulitis,Irritable bowel syndrome,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct. The presence of 'skip lesions' (areas of inflammation interspersed with normal mucosa) and 'segmental colonic inflammation' are classic hallmarks of Crohn's disease [cite: 183, 185, 648].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Crohn's disease):** Characterized by transmural inflammation, skip lesions, and can affect any part of the GIT [cite: 183, 185].
- ❌ **B (Ulcerative colitis):** Involves continuous inflammation starting from the rectum and is limited to the mucosa and submucosa of the colon [cite: 188].
- ❌ **C (Diverticulitis):** Inflammation of diverticula, usually presenting with acute left lower quadrant pain and fever [cite: 186].
- ❌ **D (Irritable bowel syndrome):** A functional disorder without visible structural damage or inflammation on colonoscopy[cite: 189].

### 3. MEMORY AID (MNEMONIC) 
**'CROHN'S = SKIPS'** — **C**rohn's **S**kips areas, while **U**lcerative **C**olitis is **C**ontinuous.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which IBD is associated with a 'Cobblestone' appearance on endoscopy?' (Crohn's disease).
- **Key Connection:** Essential for **Gastroenterology** differential diagnosis of Inflammatory Bowel Disease (IBD).",Medicine|Gastroenterology|Pathology|haryanamo
28,2024,A 20 year old woman presented at 7 weeks of gestation unwilling to continue pregnancy. What are the drugs used for medical termination of pregnancy in patient?,Misoprostol and medroxyprogesterone,Misoprostol and mifepristone,Mifepristone and methotrexate,Mifepristone and medroxyprogesterone,B,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option B is correct. For Medical Termination of Pregnancy (MTP) up to 9 weeks (63 days), the standard regimen is 200 mg of **Mifepristone** followed by 800 mcg of **Misoprostol** 24-48 hours later [cite: 191, 193, 648].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **B (Mifepristone and Misoprostol):** Mifepristone (anti-progesterone) sensitizes the uterus, and Misoprostol (prostaglandin) causes contractions to expel the contents [cite: 193].
- ❌ **A, D (Medroxyprogesterone):** A progestin used for contraception or HRT, not for inducing abortion [cite: 192, 195].
- ❌ **C (Methotrexate):** Historically used for ectopic pregnancy, but the Mifepristone-Misoprostol combo is the modern standard for MTP[cite: 194].

### 3. MEMORY AID (MNEMONIC) 
**'M-M Regimen'** — **Mi**fepristone first, then **Mi**soprostol.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the legal limit for MTP in India?' (20-24 weeks depending on specific conditions under the MTP Amendment Act 2021).
- **Key Connection:** High-yield for **Obstetrics** and **Pharmacology**.",Obstetrics|Pharmacology|haryanamo
29,2024,Maximum risk of Cord prolapse is seen in which type of Breech presentation:,Footling breech,Extended breech,Flexed breech,Frank breech,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct. **Footling breech** (where one or both feet are the presenting part) carries the highest risk of cord prolapse (~15%) because the feet do not effectively fill the lower uterine segment, leaving space for the umbilical cord to slip down [cite: 198, 648].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Footling breech):** Highest risk due to poor application of the presenting part to the cervix [cite: 198].
- ❌ **D (Frank breech):** Hips are flexed and knees extended; this is the most common breech but has the lowest risk of cord prolapse (~0.5%) because the buttocks fit well in the pelvis [cite: 201].
- ❌ **B, C:** Flexed/Complete breech has an intermediate risk (~4-5%)[cite: 199, 200].

### 3. MEMORY AID (MNEMONIC) 
**'Feet = Fall'** — If the **Feet** are down (**Footling**), the cord is more likely to **Fall** out.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the most common type of breech presentation?' (Frank breech).
- **Key Connection:** Important for **Obstetrics** labor and delivery management.",Obstetrics|haryanamo
30,2024,The most common type of degeneration in fibroid:,Hyaline,Calcareous,Red,Sarcomatous,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct. **Hyaline degeneration** is the most common type of degeneration occurring in uterine leiomyomas (fibroids), found in about 65% of cases [cite: 204, 648].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Hyaline):** The fibrous tissue is replaced by hyaline; it is usually asymptomatic [cite: 204].
- ❌ **C (Red):** Also called necrobiosis; it is an aseptic necrosis typically seen during pregnancy due to rapid growth and outstripping of blood supply [cite: 206].
- ❌ **B (Calcareous):** Occurs mostly in postmenopausal women when calcium salts deposit in the fibroid [cite: 205].
- ❌ **D (Sarcomatous):** Malignant transformation; extremely rare (<0.1%)[cite: 207].

### 3. MEMORY AID (MNEMONIC) 
**'H-F = Highest Frequency'** — **H**yaline is the **H**ighest **F**requency degeneration in **F**ibroids.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which degeneration of fibroid is associated with acute pain during pregnancy?' (Red degeneration).
- **Key Connection:** Relevant for **Gynaecology** and **Pathology**.",Gynaecology|Pathology|haryanamo
31,2024,The most frequently used gas for creating pneumoperitonium in laproscopy is:,N2,O2,CO2,N2O,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct. Carbon dioxide ($CO_{2}$) is the most frequently used gas for creating pneumoperitoneum in laparoscopy[cite: 209, 211]. It is preferred because it is non-flammable, inexpensive, and highly soluble in blood, which reduces the risk of symptomatic gas embolism [cite: 211].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (CO2):** The standard gas used due to its high safety profile and rapid absorption [cite: 211].
- ❌ **A (N2):** Nitrogen is poorly soluble in blood, increasing the risk of embolism [cite: 210].
- ❌ **B (O2):** Oxygen supports combustion, making the use of electrocautery dangerous [cite: 212].
- ❌ **D (N2O):** Nitrous oxide is less safe than $CO_{2}$ and can cause bowel distension[cite: 213].

### 3. MEMORY AID (MNEMONIC) 
**'C-C-C'** — **C**arbon Dioxide is **C**heap and **C**ombustion-proof.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the most common physiological complication of $CO_{2}$ pneumoperitoneum?' (Hypercapnia or Respiratory Acidosis).
- **Key Connection:** Essential for **Surgery** and **Gynaecology** laparoscopic procedures.",Surgery|Gynaecology|haryanamo
32,2024,Caudal regression syndrome is seen in babies of mother having:,Anemia,Diabetes mellitus,Preeclampsia,Heart Disease,B,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option B is correct. Caudal regression syndrome (sacral agenesis) is a rare congenital defect highly associated with maternal **Diabetes mellitus**[cite: 216, 219]. While it can occur in non-diabetic pregnancies, the risk is significantly higher (nearly 200 times) in infants of diabetic mothers [cite: 219].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **B (Diabetes mellitus):** The most specific and characteristic fetal anomaly associated with maternal diabetes [cite: 219].
- ❌ **A (Anemia):** Associated with low birth weight and preterm delivery, not specific structural anomalies like this [cite: 218].
- ❌ **C (Preeclampsia):** Typically leads to IUGR (Intrauterine Growth Restriction) [cite: 217].
- ❌ **D (Heart Disease):** Can cause fetal hypoxia but not caudal regression[cite: 220].

### 3. MEMORY AID (MNEMONIC) 
**'Sugar affects the Spine'** — High **Sugar** (Diabetes) leads to the failure of the lower **Spine** (Caudal) to develop.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the most common cardiac anomaly in infants of diabetic mothers?' (Transposition of the Great Arteries or VSD; though asymmetric septal hypertrophy is also common).
- **Key Connection:** High-yield for **Pediatrics** and **Obstetrics** regarding diabetic fetopathy.",Pediatrics|Obstetrics|haryanamo
33,2024,The first stage of hemostasis is:,Clot dissolution,Blood coagulation,Vessel spasm,Formation of platelet plug,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct. Hemostasis occurs in a specific sequence to stop bleeding. The immediate response to a blood vessel injury is **vessel spasm** (vasoconstriction), which narrows the lumen to reduce blood flow [cite: 221, 222, 225].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (Vessel spasm):** The immediate, first stage [cite: 225].
- ❌ **D (Platelet plug):** The second stage (primary hemostasis) [cite: 226].
- ❌ **B (Blood coagulation):** The third stage (secondary hemostasis), involving the fibrin cascade [cite: 224].
- ❌ **A (Clot dissolution):** The final stage (fibrinolysis) after the vessel has healed[cite: 223].

### 3. MEMORY AID (MNEMONIC) 
**'S-P-C'** — **S**pasm, then **P**lug, then **C**oagulation.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which substance released by platelets promotes further vasoconstriction?' (Thromboxane A2 and Serotonin).
- **Key Connection:** Fundamental **Physiology** and **Pathology** concept.",Physiology|Pathology|haryanamo
34,2024,Bone marrow examination of a suspected case of leukaemia showed 14% myeloblasts with presence of Auer rods. The cytogenetic revealed t(8:21) translocation. The diagnosis is:,Myelodysplastic syndrome with high blast count,CML in Accelerated phase,Acute myeloid leukaemia,Myelofibrosis with leukemic transformation,C,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option C is correct. According to WHO criteria, the presence of specific genetic translocations like **t(8;21)** is diagnostic of **Acute Myeloid Leukaemia (AML)** regardless of the blast count (even if it is below the usual 20% threshold)[cite: 227, 228, 229, 232]. The presence of **Auer rods** further confirms the myeloid lineage [cite: 228].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **C (AML):** t(8;21) is a defining cytogenetic abnormality for AML (specifically AML with maturation) [cite: 232].
- ❌ **A (MDS):** While MDS can have increased blasts, t(8;21) specifically points to AML [cite: 230].
- ❌ **B (CML):** CML is characterized by the Philadelphia chromosome, t(9;22) [cite: 231].
- ❌ **D (Myelofibrosis):** Presents with bone marrow fibrosis and a different clinical picture[cite: 233].

### 3. MEMORY AID (MNEMONIC) 
**'8-21 = AML'** — The numbers **8** and **21** are 'A-M-L-ucky' numbers for this diagnosis.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Auer rods are composed of what?' (Fused lysosomes/peroxidase-positive granules).
- **Key Connection:** Crucial for **Hematology** and **Pathology** diagnostic criteria.",Hematology|Pathology|Medicine|haryanamo
35,2024,Single nucleotide polymorphisms (SNP) occur in which of the following regions?,Exons,Introns,Intergenic region,All of the above,D,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option D is correct. Single nucleotide polymorphisms (SNPs) are variations at a single position in a DNA sequence[cite: 234, 235]. They are found throughout the entire genome, including coding regions (**exons**), non-coding regions (**introns**), and the spaces between genes (**intergenic regions**) [cite: 235, 236, 237, 238].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **D (All of the above):** SNPs are ubiquitous across the genome [cite: 238].
- ❌ **A, B, C:** While correct, they are incomplete on their own[cite: 235, 236, 237].

### 3. MEMORY AID (MNEMONIC) 
**'SNPs are everywhere'** — Just remember they don't discriminate between coding or non-coding DNA.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the most common type of genetic variation in humans?' (SNPs).
- **Key Connection:** Basic **Biochemistry** and **Genetics**.",Biochemistry|Genetics|haryanamo
36,2024,Sarmiento brace is used in management of which fracture?,Fracture distal femur,Colles Fracture,Fracture shaft tibia,Fracture Shaft Humerus,D,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option D is correct[cite: 244, 646]. The Sarmiento brace is a functional bracing system designed specifically for the non-operative management of humeral shaft fractures[cite: 240, 244]. It allows for motion at the shoulder and elbow while maintaining the alignment of the fracture through soft tissue compression.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **D (Fracture Shaft Humerus):** The primary and classic indication for a Sarmiento functional brace [cite: 240, 244].
- ❌ **C (Fracture shaft tibia):** While functional bracing exists for the tibia, the specific 'Sarmiento' eponymous term is most famously linked to the humerus in modern exams [cite: 243, 244].
- ❌ **B (Colles Fracture):** Managed with a below-elbow cast (Colles cast) [cite: 242].
- ❌ **A (Fracture distal femur):** Typically requires internal fixation or traction/bracing that is more rigid than a functional Sarmiento brace[cite: 241].

### 3. MEMORY AID (MNEMONIC) 
**'S-H'** — **S**armiento for the **S**haft of the **H**umerus.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'What is the advantage of functional bracing?' (Allows early joint mobility and prevents 'fracture disease' or joint stiffness).
- **Key Connection:** Important for **Orthopedics** conservative management protocols.",Orthopedics|Surgery|haryanamo
37,2024,Hairpin arrangement is seen in which part of long bone:,Epiphysis,Metaphysis,Diaphysis,Epiphyseal Plate,B,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option B is correct[cite: 249, 646]. The 'hairpin' arrangement refers to the loops of nutrient arteries found in the metaphysis of a long bone[cite: 246, 249]. These loops are significant because they are areas of slow blood flow, which allows bacteria to settle, making the metaphysis the most common site for hematogenous osteomyelitis in children.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **B (Metaphysis):** Contains the characteristic hairpin vascular loops [cite: 246, 249].
- ❌ **A (Epiphysis):** The end of the bone; has a different blood supply that usually doesn't cross the growth plate in older children [cite: 247].
- ❌ **C (Diaphysis):** The shaft of the bone; contains the main nutrient artery but not the hairpin loops [cite: 248].
- ❌ **D (Epiphyseal Plate):** The growth plate itself, which acts as a barrier to infection spread in certain age groups[cite: 250].

### 3. MEMORY AID (MNEMONIC) 
**'M-H-O'** — **M**etaphysis has **H**airpin loops and is the site for **O**steomyelitis.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Why is the metaphysis the most common site for osteomyelitis?' (Because of the slow blood flow in the hairpin vascular loops).
- **Key Connection:** Vital for **Orthopedics**, **Anatomy**, and **Pediatrics** (Infectious Diseases).",Anatomy|Orthopedics|Pediatrics|haryanamo
38,2024,"Clinical triad of urethritis, arthritis and conjunctivitis occurs in which of following?",Reiter's disease,Barton's disease,Ewing's disease,Gout,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct[cite: 261, 648]. This classic triad—urethritis, arthritis, and conjunctivitis—defines **Reiter's Syndrome**, now more commonly known as Reactive Arthritis[cite: 260, 261]. It often follows an enteric or urogenital infection.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Reiter's disease):** The classic eponymous name for this triad [cite: 260, 261].
- ❌ **D (Gout):** Characterized by monoarthritis (often the big toe) due to urate crystals, not this triad [cite: 263].
- ❌ **C (Ewing's disease):** A malignant bone tumor in children [cite: 252].
- ❌ **B (Barton's disease):** Not a standard clinical entity associated with this triad[cite: 262].

### 3. MEMORY AID (MNEMONIC) 
**'Can't see, can't pee, can't climb a tree'** — **Conjunctivitis** (can't see), **Urethritis** (can't pee), **Arthritis** (can't climb).

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which HLA type is associated with Reiter's Syndrome?' (HLA-B27).
- **Key Connection:** Essential for **Rheumatology** and **Medicine**.",Rheumatology|Medicine|haryanamo
39,2024,Lachman test is done for which of following knee ligament stability?,Anterior cruciate ligament,Posterior cruciate ligament,Lateral collateral ligament,Medial collateral ligament,A,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option A is correct[cite: 255, 648]. The Lachman test is the most sensitive clinical test to assess the integrity of the **Anterior Cruciate Ligament (ACL)**[cite: 254, 255]. It is performed with the knee in 20-30 degrees of flexion.

### 2. BREAKDOWN OF OPTIONS 
- ✅ **A (Anterior cruciate ligament):** The specific target of the Lachman test [cite: 254, 255].
- ❌ **B (Posterior cruciate ligament):** Assessed using the Posterior Drawer test or Sag sign [cite: 264].
- ❌ **D (Medial collateral ligament):** Assessed using the Valgus stress test [cite: 265].
- ❌ **C (Lateral collateral ligament):** Assessed using the Varus stress test[cite: 256].

### 3. MEMORY AID (MNEMONIC) 
**'L-A'** — **L**achman for the **A**CL. Also, think of **'Lock the ACL'** (Lachman).

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'Which test is more sensitive for ACL injury: Anterior Drawer or Lachman?' (Lachman test).
- **Key Connection:** High-yield for **Orthopedics** and **Sports Medicine**.",Orthopedics|Surgery|haryanamo
40,2024,Gustilo-Anderson classification is used for which of following?,Close fractures,Pathological fractures,Stress fractures,Open fractures,D,"### 1. DIRECT ANSWER & CORE EXPLANATION 
Option D is correct[cite: 268, 648]. The Gustilo-Anderson classification is the standard system used to categorize **Open (Compound) fractures** based on the size of the wound, the mechanism of injury, and the degree of soft tissue damage [cite: 258, 268].

### 2. BREAKDOWN OF OPTIONS 
- ✅ **D (Open fractures):** The specific and only use of this classification [cite: 258, 268].
- ❌ **A (Close fractures):** Often classified using the Tscherne classification if there is soft tissue injury [cite: 259].
- ❌ **B (Pathological):** Caused by underlying disease (like tumors/osteoporosis) [cite: 266].
- ❌ **C (Stress):** Overuse injuries[cite: 267].

### 3. MEMORY AID (MNEMONIC) 
**'G-O'** — **G**ustilo is for **O**pen fractures.

### 4. FUTURE QUESTIONS & CONNECTIONS 
- **Potential Question:** 'A fracture with a wound >10cm and massive soft tissue damage is what Gustilo grade?' (Grade III).
- **Key Connection:** Vital for **Orthopedics** and **Trauma Surgery** management.",Orthopedics|Surgery|haryanamo
